1157,157,Liberal Party of Canada,2013-12-31,100.0
1158,158,Liberal Party of Canada,2013-12-31,5.0
1159,159,Liberal Party of Canada,2013-12-31,25.0
1160,160,Liberal Party of Canada,2013-12-31,500.0
1161,161,Liberal Party of Canada,2013-12-31,50.0
1162,162,Liberal Party of Canada,2013-12-31,20.0
1163,163,Liberal Party of Canada,2013-12-31,50.0
1164,164,Liberal Party of Canada,2013-12-31,20.0
1165,165,Liberal Party of Canada,2013-12-31,10.0
1166,166,Liberal Party of Canada,2013-12-31,1200.0
1167,167,Liberal Party of Canada,2013-12-31,20.0
1168,168,Liberal Party of Canada,2013-12-31,20.0
1169,169,Liberal Party of Canada,2013-12-31,200.0
1170,170,Liberal Party of Canada,2013-12-31,400.0
1171,171,Liberal Party of Canada,2013-12-31,50.0
1172,172,Liberal Party of Canada,2013-12-31,100.0
1173,173,Liberal Party of Canada,2013-12-31,100.0
1174,174,New Democratic Party,2011-12-31,350.0
1175,175,New Democratic Party,2011-12-31,1100.0
1176,176,New Democratic Party,2011-12-31,75.0
1177,177,Liberal Party of Canada,2013-12-31,50.0
1178,178,New Democratic Party,2011-12-31,50.0
1179,179,New Democratic Party,2011-12-31,100.0
1180,180,New Democratic Party,2011-12-31,100.0
1181,181,Bloc QuΘbΘcois,2012-12-31,1100.0
1182,33,Liberal Party of Canada,2011-12-31,400.0
1183,183,Liberal Party of Canada,2011-12-31,38.91
1184,184,New Democratic Party,2011-12-31,400.0
1185,185,New Democratic Party,2012-12-31,25.0
1186,186,New Democratic Party,2011-12-31,25.0
1187,187,New Democratic Party,2011-12-31,50.0
1188,188,New Democratic Party,2011-12-31,100.0
1189,189,New Democratic Party,2011-12-31,50.0
1190,190,New Democratic Party,2012-12-31,150.0
1191,191,New Democratic Party,2012-12-31,100.0
1192,192,New Democratic Party,2012-12-31,50.0
1193,193,New Democratic Party,2012-12-31,100.0
1194,194,New Democratic Party,2012-12-31,1200.0
1195,195,New Democratic Party,2012-12-31,50.0
1196,196,New Democratic Party,2012-12-31,100.0
1197,197,New Democratic Party,2012-12-31,100.0
1198,198,New Democratic Party,2012-12-31,200.0
1199,199,New Democratic Party,2012-12-31,200.0
1200,200,New Democratic Party,2012-12-31,200.0
1201,201,New Democratic Party,2012-12-31,100.0
1202,202,New Democratic Party,2012-12-31,25.0
1203,203,Liberal Party of Canada,2013-12-31,1200.0
1204,204,New Democratic Party,2012-12-31,225.0
1205,205,New Democratic Party,2012-12-31,200.0
1206,206,Liberal Party of Canada,2013-12-31,100.0
