165,Green Party,Adam Jobse,Oshawa
166,Green Party,Brent Neil,Laval--Les �les
167,Liberal,Marlo Raynolds,Banff--Airdrie
168,Green Party,Fran Hunt-Jinnouchi,Cowichan--Malahat--Langford
169,Green Party,Thomas Cheney,Chilliwack--Hope
170,Green Party,Thomas Trappenberg,South Shore--St. Margarets
171,Conservative,Jay Aspin,Nipissing--Timiskaming
172,Communist,Iqbal Kahlon,Surrey Centre
173,Conservative,Jean Lambert,Shefford
174,Liberal,Ryan Hillier,Longueuil--Pierre-Boucher
175,Marxist-Leninist,Barbara Biley,Courtenay--Alberni
176,Conservative,Ryan Hastman,Edmonton--Strathcona
177,Liberal,Connie Denesiuk,South Okanagan--West Kootenay
178,Green Party,Steve Dyck,Guelph
179,Liberal,David Merner,Esquimalt--Saanich--Sooke
180,Green Party,Nick Capra,York West
181,Conservative,Eli Tannis,Ottawa South
182,Green Party,Daniel Bryce,Abbotsford
183,NDP-New Democratic Party,Glenn Thibeault,Sudbury
184,NDP-New Democratic Party,Chu Anh Pham,Honoré-Mercier
185,NDP-New Democratic Party,Larry Koopman,West Vancouver--Sunshine Coast--Sea to Sky Country
186,Libertarian,Marty Gobin,Whitby--Oshawa
187,NDP-New Democratic Party,Eileen Higdon,Pickering--Uxbridge
188,Conservative,Jim Bell,Kildonan--St. Paul
189,Conservative,Jean Guy Dub�,Acadie--Bathurst
190,Independent,Luis Quinteros,Rivière-des-Mille-Îles
191,Green Party,Ken Bell,Chatham-Kent--Essex
192,Christian Heritage Party,Yegor Tarazevich,Mississauga--Streetsville
193,Conservative,Gary Ralph Schellenberger,Perth--Wellington
194,NDP-New Democratic Party,Mike Sullivan,York South--Weston
195,NDP-New Democratic Party,Joanne Boissonneault,Banff--Airdrie
196,Conservative,Adam Mimnagh,Sackville--Eastern Shore
197,NDP-New Democratic Party,Jo-Anne Dusel,Palliser
198,Christian Heritage Party,Scott Whittaker,Simcoe North
199,Conservative,Corey Tochor,Saskatoon--University
200,Conservative,John Williamson,New Brunswick Southwest
201,Independent,Benoit Huberdeau,Sherbrooke
202,Libertarian,Anthony Giles,Hamilton Centre
203,Christian Heritage Party,David Reimer,Kildonan--St. Paul
204,FPNP,Cory McLeod,Sault Ste. Marie
205,Independent,Jack Cook,Fleetwood--Port Kells
206,NDP-New Democratic Party,Kevin Blake,Lambton--Kent--Middlesex
207,Parti Rhinocéros Party,Marc-Antoine Gagnier,Glengarry--Prescott--Russell
208,Green Party,Vincent Larochelle,Rosemont--La Petite-Patrie
209,Liberal,Mauril B�langer,Ottawa--Vanier
210,Conservative,John Weston,West Vancouver--Sunshine Coast--Sea to Sky Country
211,NDP-New Democratic Party,Kevin M. Hagglund,Kelowna--Lake Country
212,Libertarian,Josh Steffler,Esquimalt--Saanich--Sooke
213,Liberal,H�l�ne H. Leone,Louis-Saint-Laurent
214,Conservative,Axel Kuhn,Etobicoke Centre
215,Conservative,Cecil Clarke,Sydney--Victoria
216,NDP-New Democratic Party,François Pilon,Laval--Les Îles
217,Green Party,Simon Verret,Charlesbourg--Haute-Saint-Charles
218,Liberal,Manon Fortin,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix
219,Independent,Brent Rathgeber,St. Albert--Edmonton
220,Liberal,Andrew Lineker,Red Deer
221,NDP-New Democratic Party,Rona Eckert,Nipissing--Timiskaming
222,NDP-New Democratic Party,Clyde Bridger,Bonavista--Gander--Grand Falls--Windsor
223,Conservative,Helen-Claire Tingling,University--Rosedale
224,NDP-New Democratic Party,Orville Lewis,Egmont
225,Green Party,Marc Reinarz,North Okanagan--Shuswap
226,Green Party,David Inglis,Gatineau
227,Liberal,Garry Moore,Dufferin--Caledon
